# Time (s),Q1 (%),T1 Setpoint (°C),T1 (°C),Q2 (%),T2 Setpoint (°C),T2 (°C)
1.542299999999999898e+02,3.660281760000007978e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.603089383333342255e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.552199999999999989e+02,3.660927735000007743e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.598345633333342164e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.562100000000000080e+02,3.661573710000008219e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.593601883333342073e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.572100000000000080e+02,3.662226210000007853e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.588810216666676212e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.582100000000000080e+02,3.662878710000008198e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.584018550000008929e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.592199999999999989e+02,3.958490580000012926e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.579178966666675876e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.602199999999999989e+02,3.669073080000008247e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.574387300000010015e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.611299999999999955e+02,3.669666855000007644e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.570026883333343903e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.622400000000000091e+02,3.670391130000007962e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.564708133333343909e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.630600000000000023e+02,3.670926180000007832e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.560778966666677547e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.642400000000000091e+02,3.967470840000012799e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.555124800000010765e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.652100000000000080e+02,3.972793230000012699e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.550476883333344347e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.662199999999999989e+02,3.978335100000013114e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.545637300000011294e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.671800000000000068e+02,3.983602620000013417e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.541037300000011356e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.682299999999999898e+02,3.989363970000013637e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.536006050000011669e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.692199999999999989e+02,3.994796100000013439e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.531262300000011578e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.700300000000000011e+02,3.999240570000013406e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.527381050000011697e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.710099999999999909e+02,4.004617830000013612e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.522685216666678798e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.720999999999999943e+02,4.010598660000013638e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.517462300000011766e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.732500000000000000e+02,4.016908710000014082e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.511951883333345137e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.741999999999999886e+02,4.022121360000014079e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.507399800000011680e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.752199999999999989e+02,4.027718100000014090e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.502512300000012146e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.762199999999999989e+02,4.033205100000014198e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.497720633333344864e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.771299999999999955e+02,4.038198270000014389e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.493360216666678753e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.782100000000000080e+02,4.044124230000014109e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.488185216666678912e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.790200000000000102e+02,4.048568700000014786e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.484303966666679031e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.802599999999999909e+02,4.055372580000014437e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.478362300000012652e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.811299999999999955e+02,4.060146270000014823e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.474193550000013175e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.820399999999999920e+02,4.065139440000015014e+01,5.000000000000000000e+01,4.963419999999999277e+01,4.469833133333347064e+01,4.000000000000000000e+01,4.028749999999999432e+01
