# Time (s), Heater (%), T1 (°C)
4.520000000000000000e+02,6.000000000000000000e+01,4.406900000000000261e+01
4.530099999999999909e+02,6.000000000000000000e+01,4.406900000000000261e+01
4.540000000000000000e+02,6.000000000000000000e+01,4.439200000000000301e+01
4.550099999999999909e+02,6.000000000000000000e+01,4.439200000000000301e+01
4.560099999999999909e+02,6.000000000000000000e+01,4.461699999999999733e+01
4.570099999999999909e+02,6.000000000000000000e+01,4.471399999999999864e+01
4.580000000000000000e+02,6.000000000000000000e+01,4.468200000000000216e+01
4.590000000000000000e+02,6.000000000000000000e+01,4.474600000000000222e+01
4.600000000000000000e+02,6.000000000000000000e+01,4.490699999999999648e+01
4.610000000000000000e+02,6.000000000000000000e+01,4.497200000000000131e+01
4.620000000000000000e+02,6.000000000000000000e+01,4.506799999999999784e+01
4.630000000000000000e+02,6.000000000000000000e+01,4.506799999999999784e+01
4.640000000000000000e+02,6.000000000000000000e+01,4.526200000000000045e+01
4.650000000000000000e+02,6.000000000000000000e+01,4.519700000000000273e+01
4.660000000000000000e+02,6.000000000000000000e+01,4.532600000000000051e+01
4.670000000000000000e+02,6.000000000000000000e+01,4.539099999999999824e+01
4.680000000000000000e+02,6.000000000000000000e+01,4.548700000000000188e+01
4.690099999999999909e+02,6.000000000000000000e+01,4.558400000000000318e+01
4.700000000000000000e+02,6.000000000000000000e+01,4.558400000000000318e+01
4.710000000000000000e+02,6.000000000000000000e+01,4.574499999999999744e+01
4.720000000000000000e+02,6.000000000000000000e+01,4.581000000000000227e+01
4.730000000000000000e+02,6.000000000000000000e+01,4.593800000000000239e+01
4.740000000000000000e+02,6.000000000000000000e+01,4.603499999999999659e+01
4.750099999999999909e+02,6.000000000000000000e+01,4.603499999999999659e+01
4.760099999999999909e+02,6.000000000000000000e+01,4.619599999999999795e+01
4.770000000000000000e+02,6.000000000000000000e+01,4.626100000000000279e+01
4.780099999999999909e+02,6.000000000000000000e+01,4.635699999999999932e+01
4.790099999999999909e+02,6.000000000000000000e+01,4.639000000000000057e+01
4.800000000000000000e+02,6.000000000000000000e+01,4.651899999999999835e+01
4.810099999999999909e+02,6.000000000000000000e+01,4.651899999999999835e+01
4.820000000000000000e+02,6.000000000000000000e+01,4.667999999999999972e+01
4.830000000000000000e+02,6.000000000000000000e+01,4.667999999999999972e+01
4.840000000000000000e+02,6.000000000000000000e+01,4.680899999999999750e+01
4.850099999999999909e+02,6.000000000000000000e+01,4.693800000000000239e+01
4.860099999999999909e+02,6.000000000000000000e+01,4.700200000000000244e+01
4.870099999999999909e+02,6.000000000000000000e+01,4.696999999999999886e+01
4.880000000000000000e+02,6.000000000000000000e+01,4.716299999999999670e+01
4.890099999999999909e+02,6.000000000000000000e+01,4.725999999999999801e+01
4.900099999999999909e+02,6.000000000000000000e+01,4.732399999999999807e+01
4.910000000000000000e+02,6.000000000000000000e+01,4.732399999999999807e+01
4.920000000000000000e+02,6.000000000000000000e+01,4.751800000000000068e+01
4.930000000000000000e+02,6.000000000000000000e+01,4.748499999999999943e+01
4.940000000000000000e+02,6.000000000000000000e+01,4.764600000000000080e+01
4.950099999999999909e+02,6.000000000000000000e+01,4.767900000000000205e+01
4.960000000000000000e+02,6.000000000000000000e+01,4.771099999999999852e+01
